"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d 購物車價格規則基於的 ""%s"" 屬性已被停用。"
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","操作 "
"Active","啟用 "
"Add New Rule","新增規則 "
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","應用 "
"Apply To","應用於"
"Apply the rule only if the following conditions are met (leave blank for all products)","僅以下條件成立才應用規則(所有商品留空) "
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","僅應用規則到購物車中符合以下條件的商品(所有商品留空) "
"Apply the rule to cart items matching the following conditions","應用規則到購物車中符合以下條件的商品 "
"Apply to Shipping Amount","應用於配配送金額"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","自動"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","買X送Y(優惠金額為Y) "
"By Fixed value","固定價格 "
"By Percentage","百分比 "
"Can\'t acquire coupon.","無法獲得折價券。"
"Cart Attribute","購物車屬性 "
"Catalog","目錄 "
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","條件 "
"Conditions combination","條件組合 "
"Coupon","折價券"
"Coupon Code","優惠券代碼 "
"Coupon Qty","Coupon Qty"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Coupons Information"
"Created On","Created On"
"Customer Groups","客戶群組 "
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","有效期 "
"Date Start","開始日期 "
"Default Label","預設標籤"
"Default Rule Label for All Store Views","所有商店介面的預設規則標籤"
"Description","說明 "
"Discount Amount","優惠金額"
"Discount Qty Step (Buy X)","優惠數量遞增(買X) "
"Edit Rule","修改規則 "
"Edit Rule '%s'","修改規則'%s' "
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"FOUND","FOUND"
"Fixed amount discount","固定金額優惠 "
"Fixed amount discount for whole cart","整個購物車固定金額優惠 "
"For matching items only","僅用於匹配商品 "
"For shipment with matching items","匹配商品的配送 "
"Free Shipping","免運費"
"From Date","開始日期 "
"General Information","基本訊息 "
"Generate","Generate"
"ID","編號 "
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","If empty no separation."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","未啟用 "
"Item totals are not set for rule.","總標籤沒有設定規則。"
"Labels","標籤"
"Manage Coupon Codes","Manage Coupon Codes"
"Maximum Qty Discount is Applied To","最大數量優惠應用於"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","未登錄 "
"New Rule","新規則 "
"No","否 "
"No Coupon","沒有折價券"
"Not valid data provided","Not valid data provided"
"Number of Uses","使用次數"
"Numeric","Numeric"
"Payment Method","支付方式 "
"Percent of product price discount","商品價格優惠百分比 "
"Period","週期"
"Price in cart","購物車中價格 "
"Priority","優先順序"
"Product attribute combination","商品屬性組合 "
"Products subselection","商品子查詢 "
"Promotions","促銷 "
"Public In RSS Feed","發佈 RSS Feed"
"Quantity in cart","購物車中數量"
"Row total in cart","購物車總計"
"Rule Information","規則訊息"
"Rule Name","規則名稱"
"Rule is not defined","Rule is not defined"
"Sales Discount Amount","銷售折扣總額"
"Sales Subtotal Amount","銷售小計總額"
"Sales Total Amount","銷售總額"
"Save and Continue Edit","儲存並繼續編輯"
"Shipping Country","配送國家"
"Shipping Method","配送方式"
"Shipping Postcode","配送郵遞區號"
"Shipping Region","配送地區"
"Shipping State/Province","配送省份"
"Shopping Cart Price Rule","購物車價格規則"
"Shopping Cart Price Rules","購物車價格規則"
"Special Price","特價"
"Specific Coupon","指定折價券"
"Status","狀態"
"Stop Further Rules Processing","停止處理其它規則"
"Store View Specific Labels","商店介面指定標籤"
"Subtotal","小計"
"Subtotal Amount","小計總額"
"The rule has been deleted.","該規則已經刪除。"
"The rule has been saved.","該規則已經儲存。"
"This rule no longer exists.","該規則不存在。"
"Times Used","Times Used"
"To Date","結束日期"
"To Fixed Value","固定價格"
"To Percentage","百分比"
"Total","總計"
"Total Amount","總額"
"Total Items Quantity","總數量"
"Total Weight","總重量"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","無法找到要刪除的頁面"
"Update prices using the following information","用下面的內容更新價格"
"Update product's %s %s: %s","更新商品的%s %s：%s"
"Update the Product","更新商品"
"Use Auto Generation","Use Auto Generation"
"Used","Used"
"Uses per Coupon","每折價券使用"
"Uses per Customer","每客戶使用"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","錯誤規劃指定"
"Yes","是"
"total amount","total amount"
"total quantity","total quantity"
