"Access denied.","訪問被拒絕"
"Can not find webservice adapter.","無法找到 webservice 切換器"
"Client Session Timeout (sec.)","客戶連線超過時限 （秒）"
"Default Response Charset","預設反應符號集"
"Email","電子信箱"
"General Settings","基本設定"
"Invalid webservice adapter specified.","指定的網路服務適配器不正確"
"Invalid webservice handler specified.","指定的網路服務處理器不正確"
"Magento Core API","Magento 核心 API"
"Magento Core API Section","Magento 核心 API 區"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - 角色"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - 使用者"
"Unable to login.","無法登入"
"User Name","帳號"
"WS-I Compliance","WS-I Compliance"
"Web Services","網路服務"
"Your account has been deactivated.","您的帳號已被停用"
