"* Select shipping method","* 選擇配送方式 "
"AVS Status: %s","AVS 狀態：%s "
"Optional, leave empty for home page.","可選，留空為首頁。 "
"No","否 "
"Enable Merchant Calculated","啟用商家計算 "
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","啟用此項，在購物車中點選Google Checkout 按鈕後購物車內容將會隱藏，若激活“編輯購物車”鏈接則恢復相關內容。 "
"Add Shipping Method","新增配送方式 "
"Large - %s","大尺寸 - %s "
"Enable this if your checkout request is too big and being cut off.","如果結帳請求因太長而被截斷，啟用此選項。 "
"Fulfillment: %s -> %s","實際：%s -> %s "
"Secure Callback URL","安全回叫URL "
"Delivery Address Category","寄送地址分類 "
"Small - %s","小尺寸 - %s "
"Medium - %s","中等尺寸 - %s "
"Auto-generated from GoogleCheckout Charge","從GoogleCheckout收費自動生成 "
"Location","地區 "
"Remove","刪除 "
"You will be redirected to GoogleCheckout in a few seconds.","幾秒鐘後您將跳轉到GoogleCheckout. "
"Merchant Key","商戶金鑰 "
"Merchant ID","商戶編號 "
"Allowed Methods","允許方式 "
"Free Shipping","免運費 "
"CID Status: %s","CID 狀態： %s "
"Disable Default Tax Tables","停用默認稅率表 "
"Continue Shopping URL","繼續購物網址 "
"Checkout Image Style","結帳圖片格式 "
"Hide Cart Contents During Checkout","結帳時不顯示購物車中商品 "
"Default price:","預設價格： "
"Default Package Width (in)","預設的包裹寬度（內部） "
"Default Package Height (in)","預設的包裹重量（內部） "
"Default Package Length (in)","預設的包裹長度（內部） "
"Default price for methods","預設的配送方式價格 "
"United States","美國 "
"White Background","白色背景 "
"Delivery schedule","Delivery schedule "
"Enable Digital Delivery","Enable Digital Delivery "
"Debug","調試 "
"Financial: %s -> %s","財務：%s -> %s "
"Is Buyer Willing To Receive Marketing E-Mails: %s","購物人是否希望接收到推銷類郵件: %s "
"Cart Discount","購物車折扣 "
"Buyer account age: %s days","購貨人帳戶時間：%s天 "
"Rate 3 Ship To Applicable Countries","費率三 寄送到相關國家 "
"Rate 3 Ship to Specific Countries","費率三 寄送收到特定國家 "
"Rate 3 Title","費率三 標題 "
"Rate 3 Amount","費率三 總額 "
"Rate 1 Ship to Specific Countries","費率一 寄送到特定國家 "
"Rate 1 Ship To Applicable Countries","費率一 寄送到相關國家 "
"Rate 1 Title","費率一 標題 "
"Rate 1 Amount","費率一 總額 "
"Rate 2 Ship to Specific Countries","費率二 寄送到特定國家 "
"Rate 2 Ship To Applicable Countries","費率二 寄送到相關國家 "
"Rate 2 Title","費率二 標題 "
"Rate 2 Amount","費率二 總額 "
"CC Partial: xxxx-%s","部分信用卡號碼: xxxx-%s "
"Invoice auto-created: %s","自動生成發票：%s "
"Amount: %s","金額：%s "
"United Kingdom","英國 "
"Transparent","透明背景 "
"Virtual item to reflect discount total","虛擬商品計算總折扣 "
"Google API","Google API "
"Required for live Google Checkout transactions.","Google Checkout 過程中必須的內容 "
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery "
"Google Checkout","Google 結帳 "
"Google Checkout Shipping - Flat Rate","Google 結帳 運費 - 固定運費 "
"Google Checkout Shipping - Carrier Calculated","Google 結帳 配送 - 快遞計算 "
"Google Checkout Shipping - Merchant Calculated","Google 結帳 配送 - 商家計算 "
"Google Checkout: %s","Google 結帳：%s "
"Google Risk Information:","Google 風險評估訊息： "
"Google Order Number: %s","Google 訂單號：%s "
"Google order status change:","Google 訂單狀態變化： "
"Google Buyer Id: %s","Google 購物人編號：%s "
"Google Refund:","Google 退款： "
"Google Authorization:","Google 授權： "
"Google Charge:","Google 收費: "
